Name,Review,UpVotes,Rating,Date
,,,,
Prashant Kumar,"Being in railways, I am frequent traveller travelling twice thrice a week. This app has proved really helpful to me. The features of setting alarm at your de-boarding point is really appreciable. Five stars and a complement from my side to the app developers. One suggestion is to update the cancelle...
Full Review",200,Rated 5 stars out of five stars,15-Mar-20
,,,,
Yash Khan,The APP is good but sometimes it give Wrong info about the train timings....,,Rated 5 stars out of five stars,"April 23, 2020"
,,,,
Manas Hore,Very reliable and user friendly Application. I use it since 1 year.,2,Rated 4 stars out of five stars,"April 21, 2020"
,,,,
Raghu HL,"Very good app,and also very very accurate timings.",2,Rated 5 stars out of five stars,"April 15, 2020"
,,,,
Raghavendra h.mahadev,"Being a area manager I have to travel regularly & I prefer � to travel around, this app help me out to find the train location/delay in arrival. But 1 drawback I observed that when train leaves from respective station & it still reflects *Not Started from station* after few mins it's shows exact lo...
Full Review",27,Rated 5 stars out of five stars,23-Feb-20
,,,,
dipak baranwal,"Please mention distance restrictions of trains i.e. super fast trains having a restriction of minimum distance and fare. For example 12381 POORVA EXPRESS and like that train has a minimum distance of 500 kms for general tickets. But your app shows as general express fare. Please add this DISTANCE RE...
Full Review",24,Rated 4 stars out of five stars,01-Mar-20
,,,,
Meena Tomer,"Good Videos and photos of the email I sent you a pro player is required for video playback is unavailable right now because this video is not a pro player is required for video playback is unavailable right now because this video is not a problem with the email I sent you a pro player is required fo...
Full Review",19,Rated 3 stars out of five stars,25-Feb-20
,,,,
sri harsha,"The App is not showing the current location of train as Train not started instead it is showing waiting for location update. This is not correct way. If its getting updated, the passenger may choose alternative transport if urgency. It was horrible that my train has gone delay by 2hr and 30min but n...
Full Review",540,Rated 5 stars out of five stars,18-Feb-20
,,,,
Arvind Kumar,Absolutely a beautiful app. It gives you the complete schedule of a train. The app also shows the real time location of trains. It also gives you to see the structure of the train. The app lets you check the speed of train with the help of Gps and speedometer.,29,Rated 2 stars out of five stars,18-Mar-20
,,,,
KAMAL SINGH,The PNR Status is not getting refreshed. Whenever we come back and check the current status of the PNR then we have to do a lot of like bot testing. Previously this type of thing was not there. It should be refreshed instantly and latest update on PNR Should be displayed. Please update your app,773,Rated 5 stars out of five stars,17-Feb-20
,,,,
Sunny mahapatra,"Awesome app & very helpful..the best part is that this app show me the platform number..very easy to use..UI design is very beautiful..every feature like local train time table & express train time table & tracking feature like gps mode , internet based tracking just superb..thank u so much for maki...
Full Review",305,Rated 3 stars out of five stars,10-Feb-20
,,,,
Sita,"I have seen a porter using this app and started using it.. Very accurate and helpful.. It has the pictorial view of the train moving and reaching stations, lists platform numbers and also the coach alignment starting from the engine, which helps a lot when we are in a hurry",22,Rated 5 stars out of five stars,29-Feb-20
,,,,
Saurabh Kumar Pippal,it's a very good or important app. I really thanks to founder of this app. but sometimes it process become slow due to low internet connection. I kindly request to founder of app make app faster at slow connection also for better performance. because in some area network may not reach or low .,13,Rated 5 stars out of five stars,21-Mar-20
,,,,
Vishal,"This application is very useful for train travelers, the feature of this application of real time tracking through GPS/cell tower is very fantastic. It's feature makes the difference among all traveling app. it also provides real time train speed.",66,Rated 5 stars out of five stars,17-Feb-20
,,,,
Ritika Yadav,"Its really amazing app....u can find easily the fare,time,reserved seats etc",,Rated 5 stars out of five stars,"April 24, 2020"
,,,,
VINOD S,"Fantastic app which ever seen... It's very accurate and very very useful.. It just created a pocket friendly towards the passengers with very very easy of operation.. Loved IT.. OUR JUST nailed all the enquiry counters... Thank you sooo much for those you have kept complete effort and made it succes...
Full Review",24,Rated 5 stars out of five stars,20-Feb-20
,,,,
Ritesh Verma,this is not very good app. it has a option of inside and outside of train. that works very good but sometimes cell tower option not work properly and it is not updated as fast as it should. here the trains between gola gokaran nath to lucknow is not update while they are running from february?..,24,Rated 5 stars out of five stars,17-Mar-20
,,,,
Nitila K Joshi,This app is very helpful to find the train and even for booking also,,Rated 1 stars out of five stars,"April 15, 2020"
,,,,
KEVITI SANTHOSH BEHARA,It is most useful app to train timings and other information,,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
Koushick Sivasankaran,A very good app. Your schedules have helped me most of the times. To track a central railway from unknown railway station is a herculean task and you have helped me in this regard. Keep up the task and improve on the accuracy.,596,Rated 5 stars out of five stars,08-Feb-20
,,,,
Sadik Habibulla,It is a best app for train travelers. It shows the perfect time location of train � with geolocation speed meter. It shows where the train is cancelled or not. It shows Google wi-fi stations. We can reserve or book train ticket. All thanks to where is my train app developers. Thank you.,10,Rated 5 stars out of five stars,03-Mar-20
,,,,
Mahesh Reddy,It is very easy to find where the train is start or stop.,,Rated 5 stars out of five stars,"April 13, 2020"
,,,,
ASHOK KUMAR,"Add an option for showing train routes with all intermediate stations for normal days, even when train is not running or stopped. This will help in finding the routes of destination about a particular train whether it crosses through the desired roots or not. Thnxx...!!",84,Rated 3 stars out of five stars,14-Feb-20
,,,,
Krishnan Rangachari,"No response for the concerns raised. This feature of report an issue can be removed from the app. Time tables are not updated, recently introduced trains are not available. I gave ample time to see if they are correcting the issues but no response hence providing 2 star.",22,Rated 1 stars out of five stars,14-Mar-20
,,,,
Durgesh Tiwari,"Lots of cheating played in this game. It's a good game but when I see the cheatings I really hate to uninstall it. I have done it so many times when it frustrate me while playing. I have recorded screen plays which is the evidence I have. Opponents open and pass directly from home to pass, how is it...
Full Review",331,Rated 4.2 stars out of five stars,"April 28, 2020"
,,,,
vishal Gour,"Disappointed. There is a set pattern. The algorithm always tries to make it a close finish. Definitely a scripted game. I must add. If you are at an advantage by virtue of playing intelligently but the opponent has only one token left, you can be pretty sure he will quickly move towards the house..6...
Full Review",64,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Zoyah K,"I absolutely hate, with a passion, how biased this game is. It's no where near random. Because the opponent with ALWAYS get the right number to get me out!!! And it is very frustrating... I'm always losing when it comes to the missions... It's really pathetic. I don't care how many times you're goin...
Full Review",322,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
shailesh kumar,"Don't know what's wrong with the game's algorithm. Winner is pre-decided , whatever you do nothing can stop the decided to win. Every time you roll, it is going to be captured. Sometimes its frustrating. I read many more comments and the same problem is with thousands of others. Do something with th...
Full Review",52,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Abhishek Rukhaiyar,"Ludo is originally a game of luck. But, not this game. It's a fixed game. To make the games interesting, the developers have some fixed set of rules. Let no one win so easily and no one lose so easily. It's very easy to get the required number for the opposition team, once your piece is in definite ...
Full Review",2,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Rose,"This is the WORST app ever!!!! I freakin' lost 13 games continuously � The older version of ludo king was much better, but now I literally don't understand what the hell is wrong with this game! If I had a choice, I would have given it 0 stars, not because I lost continuously, but because something...
Full Review",226,Rated 2 stars out of five stars,"April 27, 2020"
,,,,
RAHUL SAXENA,"Worst game ever, the game has been fixed by the developers, most of the time they keep you in game even you 3 piece is in home, and the last one need only 1'number. No possibility you will win or not. Last piece kicked off by every player. If you are going to be become no. 1 , but wait what you see,...
Full Review",285,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Gargi Razdan,"There are so many things wrong with this game, first, if you need one to win, the game is designed in such a way, it will always show a bigger number and if you are near opponent's else's starting point, the game will definitely will show numer that will make us loose a token, like this whole game i...
Full Review",241,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Gametion Technologies Pvt Ltd,"I was enjoying this game for last couple of days and it was fantastic until I saw in recent game where my dice and game controlled by app itself. I don't know whether it was hacked or any other problems but my game was out of control and seemed someone else has control. This was a quite shocking exp...
Full Review",98,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
BALVEER SINGH,"For a game that is based on luck, they sure have pulled a number with this one. If you don’t believe me, just see for yourself- for every game you play, the last 2, sometimes 3, tokens always end up neck to neck. If one of them is way ahead, they start getting smaller or unplayable numbers on the dr...
Full Review",308,Rated 2 stars out of five stars,"April 28, 2020"
,,,,
Gametion Technologies Pvt Ltd,"Worst gameplay, game is designed to take more and more time to play. The dice is not fair, it works a way if a player is winning it automatically goes against him and you'll get beated. Seeing this you'll get irritated. Not a fair game at all and also consumes so much battery power. I wish there was...
Full Review",3,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Abhi Patidar,"Dice is rigged. Very frustrating. It works on patterns so as to make games close finishes. This can be ok for regular games, but don't ever try to complete any of 'missions' to unlock new themes. The 'popular' mode is a scam. It will end up wasting your time feeling frustrated. I played 15 games tod...
Full Review",185,Rated 1 stars out of five stars,"April 25, 2020"
,,,,
Gametion Technologies Pvt Ltd,"This game is just sooo rigged. You may say the number on the dice is random but it just is not. Even a toddler could make out the difference. The people always just get the perfect number that they desire. It's not once, twice, thrice or 4 times, it's just always. Trust me, this is tooo good to be a...
Full Review",138,Rated 2 stars out of five stars,"April 29, 2020"
,,,,
HARSH SAINI,"I don't understand what was going on. If my opponents has a crown or highest points the game should be in their hands . The computer has always put them into the safe zone . Is there any possible when all the tokens continuously killed when they reached their end it is possible only in this game . A...
Full Review",9,Rated 2 stars out of five stars,"April 29, 2020"
,,,,
Ameya Deshpande,"This game is good , but If you are going to win they will show that your internet connection is not working . And if it is working they will give the opponent the exact number they want , either if they giving or they are hacking this game as this game can be easily hacked . I have Played many games...
Full Review",142,Rated 1 stars out of five stars,"April 24, 2020"
,,,,
Kaushal Ravi Kumar,"Very poor. Most of the time it shows as under maintenance. Now I need to search another option instead of this. I faced the above problem once again today. It again shows under maintenance. The game developers need to work hard on this problem. The above problem I faces everyday.now this is very ser...
Full Review",187,Rated 1 stars out of five stars,"April 24, 2020"
,,,,
SWETHA. PULLOUR,"It's fun and competitive when playing with friends... however, whatever ""random"" dice generator they have programmed feels incredibly cheap and bias and in favour of your opponent, even if it is random, it certainly doesn't feel like it. It's hard to explain but it definitely feels unfair and lookin...
Full Review",30,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Harmanjeet Singh,"Love the game ! But the dice numbers are not random, which does not give you a natural ludo playing experience. 1) The first 6 no. doesn't come up untill a certain opponent is near your starting point. 2) 90% of the time a person gets the perfect no. to kill. 3) If a person is left out while others ...
Full Review",6,Rated 2 stars out of five stars,"April 24, 2020"
,,,,
chinmay maharana,"The worst dice algorithm ever!!! The machine sets the winner in the online version and showers that player with 6s. Like seriously?? Even while playing with the computer, it just happens to roll all 6s and just the right number for the computer to kill the opponent! Very convenient and freaking nons...
Full Review",8,Rated 1 stars out of five stars,"April 21, 2020"
,,,,
Gametion Technologies Pvt Ltd,"This game would be SO much better if the dice roll was actually random. As others have mentioned there is clearly a set algorithm and you can more or less tell at the start of the game if you're going to win or not. I've also noticed some players seem to somehow get double rolls without rolling a 6 ...
Full Review",38,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Tom Woods,"The dice is purely biased. I don't get the numbers I want to capture my opponent's token. And in fact i am the one whose tokens get captured each and every time. Its been 10 games and this still continues. The dice is not randomised at all. If your 3 tokens get into the house and u just need 1 to wi...
Full Review",70,Rated 2 stars out of five stars,"April 27, 2020"
,,,,
Sreekar G,"I am uninstalling this game. This game is broken always have issues. I have faces glitch many times. And it seems they have fixed the pattern of the dice. When your token or other player token is there, your dice will always get that number so you can kill his token. Game should be unpredictable and...
Full Review",65,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Nishtha Pradhan,"Sometimes I lost my internet connection, and then I have to close and restart the game. This is happen not only in once time, but more and more until my stars power empty. When play with four player, just only one player can play with normal playing without lost the power. When this player have roll...
Full Review",18,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Sandi S,"Dear Developer, I have a question for you. Why can't you put random number algorithm in this game. Whenever I come close to my opponent, I eat from him. This shows that if you get close to the opponent, you are sure to eat. Sorry, but it's not interesting, instead it depresses me to my core and demo...
Full Review",49,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Ankita Das,"It is a fraud game. The player with high number of coins or higher in level always wins. The loser always gets lower number on dice throws while the winner gets 6-6-5 most of the times. Dice is biased. Rather it is based on algorithm. There is no strategy you can use of your own. If you do all your ...
Full Review",49,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Harsh Parmar,"I have played this game many times. And i have understood that the makers have made the algorithm to attract more players. Newer the player, more the dice favours the player. The developers have killed the essence of the game..which is lucky roll. No longer there is any luck involved in this game. A...
Full Review",5,Rated 2 stars out of five stars,"April 25, 2020"
,,,,
Asah Ideana,"Rigged algorithms! I think they favour those who make a purchase in the game and remove ads. And for those who don't, they rig the game and never let them win. In this way we will lose all coins and eventually have to buy coins in the game. That is their strategy. Well i am not gonna spend money buy...
Full Review",46,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Paper Shredders,"Wrost game ever , some players never get the desired number while the same time other opponent get all the desired number in game. There is a bug in game , if you play multiplayer game suddenly your connectivity is interrupted and next you are not able to play. And game is end and you are lost the g...
Full Review",26,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Sukanya halder,"I've seen many reviews mentioning about the biased nature of dice & pre determined outcomes after few games. I find them true from my experience also. However, I wud like to point out the nonsense thing called as ""Diamonds"". You can undo/ keep rolling the dice so that you get what suits you as long ...
Full Review",19,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Avneet Kaur,"In the beginning it was working just fine but now a days it mostly shows no internet/ slow internet, whereas that's not the case at all. I'm able to play on Yalla Ludo app with the same internet speed. I lost 4 games today because of the same. It's surely the app which is going through some trouble....
Full Review",30,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Gourab Mukherjee,"Such a poor game. Very poor algorithm used. Why I am not able to get three sixes continuously?? Why I never got the chance to keep my ""goti on same place other than stopages??? Why every time I can be sure to win the game or lose it after some chances???? It is just a time pass game but much far awa...
Full Review",2,Rated 2 stars out of five stars,"April 25, 2020"
,,,,
Rajkamal Chaubey,"Hi! I loved your game, good work guys... But, i am facing a problem... I play this game a lot and i lose sometimes and lose coins. So to keep Playing, i watch aads and take the surveys and quizzes. But, after completing the surveys, I don't receive any money.. Can you guys add a ""reduce time"" in the...
Full Review",3,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Nazish Aslam,"There is some problem as the token do not work as directed. If command is given to a token then it will come forward by within a second or two if come back to its original place and another token is moved without any command. Inshort the computer moves token as per his wish The bug needs to be repai...
Full Review",15,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Rupali Choudhary,"This game graphics are good..but it seems totally scripted , the rolling disc is not random at all. All decides when you play online. Doesn't matter how fast you reaches in victory point, the game will always end with the same situation, where you require one to win � so much disappointment going t...
Full Review",13,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
ANSUL SHARMA,"The game is good and all. The interface is also good. But the game sucks in its predictive dice value. It's not at all random. It occurs seeing the dice value of other players and tends to match it likewise. For eg. if I get a six, my opponent is bound to get a six in the next two turns. This is whe...
Full Review",1943,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Sohum Padhi,"They are lucky that there is no option for Zero star. Once i have started a game of 50000. It didn’t find any opposition. Later on i find coins are gone. Game of Injustice . But it also has a serious drawback. Sometimes it gives undue benefits to someone. Sometimes it is seen that opponent is gettin...
Full Review",68,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
manali shirke,"The app itself is good but the dice is completely rigged. It gives your or others exactly what you need to kill someone else and say red is almost home and yellow is far behind, it consistently gives yellow high rolls. Those are just two examples. People say it's random but, as a ludo player all my ...
Full Review",10,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Deepak Kamboj,"Cannot be a fair game since the dice is based on a computer algorithm. I have noticed it many times it works according to the situation. If the user is about to win then it will give those numbers only which will make him win or if the user's level is beyond yours then it will always flip to his fav...
Full Review",2,Rated 2 stars out of five stars,"April 27, 2020"
,,,,
Mohit Kumar,"While sometimes playing online multiplayer game it pops out of the game and comes to the home screen , all the amount earned are being lost , If this problem is fixed it would be the best ever than other games. And while opening advertisement for collecting coins also this problem happens . If this ...
Full Review",13,Rated 1 stars out of five stars,"April 24, 2020"
,,,,
Abu Bakar Siddique,"Worst app you will ever see. Even if I roll the dice 25-30 times I can't get 1. Nowadays even opponents get 1 easily to win when they roll the dice. Also I won't get the number I want to him opponent player. But most of the time they will get the number to hit me. It happens in 2 players, 4 players ...
Full Review",21,Rated 3 stars out of five stars,"April 27, 2020"
,,,,
Imtitangit .Pongener,"I liked this game. But yes, as everyone said, this game break the rules of probability. When you are in outer circle, chances of you getting 1-2 is more than the 6. And once you enter the inner line and need just 1 or 2, suddenly chances of getting 6 are more than chances of getting 1-2. How? Now un...
Full Review",30,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Anupam Shrivastava,"It is the worst game I ever played. If I could have choice to give rating in minus I could give it. It can cause you a kind of depression. Most of the time when played this game if I was in need of 2 it will give me 6 or any other no. If opponent's have 2 dice remaining and I want only 1 to win the ...
Full Review",16,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
steeve brianson,"I don't have an iota of doubt that this Ludo King is totally biased game. No randomness at all. Dice favours the player who has spent money 80% of time. Opponent gets what they exactly need almost everytime. No surprise if I get 1 three times in a row. Its normal. And opponent getting 6s successivel...
Full Review",6,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Vinay B n,"I like this game, but my last play was completely malicious, my moves were reversed and done by someone else. Not one time the complete game the same thing was happened, finally I quit myself. I don't know wheather my opponent controlled my moves or it's a bug(mostly not because it happened only for...
Full Review",7,Rated 2 stars out of five stars,"April 26, 2020"
,,,,
Bijay Pradhan,"The game is great but the developers should be more concerned about making the game better instead of finding ways to grab money. I had uninstalled this game a month ago because of the problems it had. And reinstalled it a few days ago hoping that they might've fixed it. But no, it's all the same, I...
Full Review",183,Rated 4.3 stars out of five stars,"April 29, 2020"
,,,,
Haven Hinton,"Really great fun, I like the competitive fighting that goes on and how there are so many modes to pick from. Would recommend this game for anyone. There are a few bugs though that could be fixed like the Mic issue. Whenever I try to talk to my friends it will bug out and not let me talk to them. But...
Full Review",734,Rated 2 stars out of five stars,"April 28, 2020"
,,,,
kaur heer,"It is a good game. I just started playing this game 2 or 3 weeks back and I am experiencing lots of issues like glitch, lagging and ping issues. I am frustrated with this game just within 2 weeks. Most of the times when we play with friends we face voice chat troubles, the mic stop working we are no...
Full Review",176,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Excel Bill,"First of all you created a very good game here, but I think the permanent clan membership option shouldn't be available until the player has been in the game for at least three seasons allowing them to decide which clan to join. Personally I ignorantly joined a clan permanently because I was very ne...
Full Review",51,Rated 2 stars out of five stars,"April 28, 2020"
,,,,
Syed Mateen,"Best game ever; I love to play this game. good graphics, good controls and nice game play, compitition was great! by our friends never bored of this game while playing! chatting over voice with pals and killing enemies is the best feelings in the game. The only problem is lagging it,s okey it,s our ...
Full Review",734,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Tencent Games,"It's a really enjoyable and competitive game, especially with friends. But it's a shame that the developers can't deal with cheaters, lagging, bugs, etc. They are more focused on making new skins, on wich players are spending lots and lots of money and can't even experience a good gameplay. In the R...
Full Review",45,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Palcu Vladut,"The game is good overall, thrilling and exciting game. I am playing this game since last 2 years from starting to present and I have seen a lot of changes in the game. The game is gr8. But the problems are desync and the glitches. I hit the enemy several This times but the bullets don't get register...
Full Review",264,Rated 3 stars out of five stars,"April 29, 2020"
,,,,
Mohammad Rashid,"I've been getting no feedback whatsoever regarding my game that freezes 1 out of 3 games I play. I lose a lot of points because of this issue , and there's absolutely nothing wrong with my internet connection , the game completely freeze. Please fix this , this has been going on since the latest big...
Full Review",101,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
Tencent Games,"The game is very good overall! But it is lagging very much! And no, I am not in a weak internet zone! The network is good enough to play anything except this game! Is is not even downloading the internal files and stating that my phone does not have any internet connection when my other apps are giv...
Full Review",80,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Rowan Terry,"When this game was launched I played it first and it was the best that I have ever played. I am getting a continuous issue related to in-game voice chat. In every match I couldn't speak with my mic. I have to close the game and restart it again and also my phone is slow so while I open the game it l...
Full Review",18,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Tencent Games,"I love the game. No matter how much i've played it still good. But im giving it 2 stars just because of the bugs that is in the game in this specific update. The game freezes mid-game, sometimes it just freezes while im fighting with another team. I had to reopen the app and lost my communication wi...
Full Review",177,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Sarbajit Chatterjee,"Hello devs. This game is awesome and I really enjoy it allot but there's this one thing that annoys me, the timer on the on the main page (when you lose your internet connection) It really annoys me when it say *300 seconds for another try* Please try to fix or reduce it to about maybe 100-50. Thank...
Full Review",129,Rated 2 stars out of five stars,"April 27, 2020"
,,,,
Sanidhya Bhatnagar,"Frustrating.. one word to sum it up! This game constantly disconnects and gives the No Response From Server error...even in the midst game.. you reconnect to find the game is over.. Please do not reply stating its my network issue. I have a solid internet connection and other apps work fine without ...
Full Review",18,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Veng Techsor,"This game is supposed to be fun but still, there are bugs in the game. I tried the customer support in-game but the recommended solutions won't work. Also, there is a certain bug in the game that whenever I land on the apartments on the school in the Erangel map, the game just decides to float me up...
Full Review",46,Rated 1 stars out of five stars,"April 17, 2020"
,,,,
Tencent Games,"Lots of glitches since the season 12 has started. But, the new problem iam facing is that I can't play the game more than 6hrs a day now. The settings ain't allowing me to make the changes that too when iam over 18yrs old. Being quarantined for the bloody whole day it was a nice option to keep in to...
Full Review",336,Rated 2 stars out of five stars,"April 22, 2020"
,,,,
Prince Miguel,"I've been playing this game for 2 years now. It has its ups and downs. The developers constantly keep improving it. Basically you need a good device and a good internet connection for this game to work. The dynamic environments makes this game very fun to play. The modes the game offers also makes t...
Full Review",195,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Tencent Games,"Now a big problem I've been suffering in last few weeks with the missions we need to complete one of then was play 8 games in the arcade mode , I've played 23 total games in the arcade mode and it still says 7/8 the second one is to land in San Martin on a rooftop and I did that twice and it still s...
Full Review",25,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
oH_psY !!!,"The mic glitches are so random and annoying. Suddenly the microphone stops working. The game crashes more times than previously it used to. And it's not device issue or memory issue. I play it on OnePlus 6 and it doesn't have memory issue or RAM issue. Daily I have to restart my game 2-3 times out o...
Full Review",56,Rated 2 stars out of five stars,"April 29, 2020"
,,,,
Joshua Cadayona,"I've been playing this game since its inception, and I have to say, it has always had problems. Terrible lagging at the worst possible times in the middle of gun fights, gliches within the map design, easily hacked by an extraordinary large number of players. It use to sort of be a fun game but the ...
Full Review",55,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Tencent Games,"How ironic this is called mobile game but not good for mobile data connection. I'm using full signal LTE connection but still can't play well 'cause it freezes from time to time. It says Asia server has 48ms ping, but in-game it becomes 250-400ms. I play this game on steam and I love it. Sadly, this...
Full Review",7,Rated 3 stars out of five stars,12-Feb-20
,,,,
Abhijit Bisht,"I've been playing this game for about 2 and a half years now and it's a really good game but since few weeks ago the game started lagging so much even though the network connection is really good. I can't play a single match properly � I've tried everything to solve this problem to the extend of un...
Full Review",1,Rated 2 stars out of five stars,"April 9, 2020"
,,,,
Tencent Games,"As a regular player of the game I want to address the most frustrating issues in the game: Ranked Arena - Most likely due to latency but sometimes when being shot at and you duck for cover, some hits only register a few seconds after, no matter where you are on the map at that point, leading to some...
Full Review",3,Rated 3 stars out of five stars,"April 13, 2020"
,,,,
Rohit Biswas,"Last updated version is the worst version I ever played in PUBG mobile. I have a POCO F1 mobile with high speed internet facility but there is a soo much of game lagging since I have Qualcomm Snapdragon 845 processor. How did u explain about that. For this worst experience I had spend my money to ge...
Full Review",5,Rated 4 stars out of five stars,"April 18, 2020"
,,,,
Tencent Games,"Was the best game. But since the last 3 seasons lagging is getting way out of control. I smashed brand new P30 Pro out of frustration because lagging and loading is causing us to struggle with game play. Please sort out your servers and ping issues rather than adding new features and skins and what ...
Full Review",4,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Siraj Hulk,"I just downloaded this game and I found one bug right after the first match. After finishing my first match I was invited by the other mate and I accepted his request. Then other main player seem to be offline. So, I deleted the game and reinstalled it where again I saw that my game screen was stuck...
Full Review",4,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Tencent Games,"This was a good game however it's all messed up now. I updated the game yesterday(475 MB) and then the game stopped working altogether. the game starts and then it gets stuck at match will start at 0 seconds. the plane is invisible while jumping, when you jump you don't have the jump option working,...
Full Review",89733,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
SIDDHARTH PATEL,"After the new royal pass , after playing 2 - 3 classics or 4-5 arena matches....the sound of team is not received , the teammates can hear me.....thus I have to log out and re-login to overcome it.....so please try to do some thing....also many of my missions are stuck....they are not completing.......
Full Review",36,Rated 4 stars out of five stars,"April 24, 2020"
,,,,
Tencent Games,"My favorite game.Fortnite isnt realistic so I personally think this game is way better. PubG is a good realistic game.Pubg is the best game I've ever played.The updates are fun when they add new modes.(Edit) I love the game and all but I recently got my new phone Samsung Galaxy A20 and I just instal...
Full Review",9,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Lee Sullivan,"I am literally so obsessed with this shooting game! Not as realistic as the pc version, of course (although with the recent update its definitely getting there!), but the graphics can be amazing with the right phone. There are some glitches, but they don't occur that often for me, and I can't recall...
Full Review",1442,Rated 3 stars out of five stars,"April 17, 2020"
,,,,
Tencent Games,"Been playing since it came out, and over the years I really been disappointed,angry,frustrated about this game. Many bugs including if you loss an connection and back again seeing the message you have been killed even if I dind'nt died, Secondly pay to win like rules of survival. Only focuses in ski...
Full Review",25,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Francis Bedruz,"It's a good game but it has so many issues to fix. So finally I decided to uninstall. I hope you guys will fix the issues in future. 1. Lagging when enemies are near by. Not only me my friends are experiencing the same thing. I lost too many matches because of that. 2. Audio problem. If a player wen...
Full Review",1243,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Teihom Konyak,"I've been playing since the Mission Impossible event on another account, im playing on a new account. Overall its great, but can yall not do wacky fortnite-ish things like a dog wearing a hoodie suit and. The problem for most mobile ports is that they're turning fortnite-ish, so dont do that and be ...
Full Review",14,Rated 2 stars out of five stars,"April 29, 2020"
,,,,
Nikolas Zakrzewski,"Two days ago there was an update. My friends got 2 free crates. Lucky me! I got nothing. Someone explain this to me. Also the game is totally unstable and it freezes every time. After 2 years of playing this game and buying the royal pass i can say that im really losing interest in this game. Last t...
Full Review",144,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Jeningshon V,"The constant quick chats on the new update and the foreign players are enough to make me uninstall this game after having it for over 3 years. Good job ten cent. How much more toxic can you make this game. Guys jumps 3000 meters away from me, quick chats marked a location that stays up for 4 seconds...
Full Review",20,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Jan Augustin,"This game's BROKEN not because of the gameplay but because of the players , nowadays I always either find players that teams up in solo match(I can confirm this because they were speaking through mic) or players that kill their own teammates. Don't Even Bother Reporting Either ,of all the people I'v...
Full Review",19,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Sagar Patel,"Gameplay etc is good but the game has a lot of bugs, like a lot. There's no way you'll play this game without a bug. Like in my case, the character starts moving on it's own and I have no control over it. Also sometimes when I open the scope, it'll not move and freeze at a single place. And when I t...
Full Review",894,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
vinay yadav,"Full of bugs and glitches. It has become really hard to play the game because of high ping problems and lags. The developer is very active when it comes to adding new content in the game but the enthusiasm in fixing bugs and glitches is always seen to be missing. You will continue to loss your users...
Full Review",234,Rated 2 stars out of five stars,"April 3, 2020"
,,,,
